KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days]
87.01,2.034782608695652,50.384577800566575,0.22634771667935905,289.86453354290694,589.8113117307845
89.01,6.505415162454874,9.652289228872641,11.58811084655283,84.68810560708499,550.9312862959104
89.02,12.0,209.78364093751483,165.51341965326196,207.63704821894774,2491.644578627373
92.01,6.718498659517427,3.097067899439023,7.111608913678825,65.70456697156628,441.436045122641
94.01,6.681559152040118,0.6777931969512674,15.709684712440648,22.342970274238244,149.28587751959685
94.02,14.98211484154377,5.356450026397774,68.28589086111198,10.423681913974185,156.16879950688403
94.03,12.141509433962266,7.629688595354269,69.12839823773604,54.31993619557444,659.5260177707954
94.04,4.917647419864664,16.56949498959138,36.9612919111847,3.7431663437742277,18.40757231258558
97.01,6.268222178906026,0.1365757015951381,4.154491766653564,4.885488916694862,30.623329982426306
98.01,4.5205391201152825,0.381410252737331,2.8635836918820985,6.790120134531662,30.695003698432824
100.01,2.9567310989036106,2.318796166377473,25.081718221672645,9.966399282165131,29.467962701668263
102.01,34.43605620585352,0.5495693595020106,6.933483019091341,1.7351360771396345,59.75124347718464
103.01,17.590496156533895,26.7734994689363,2228.949270345055,14.910994399495328,262.291789674421
104.01,5.964481959714891,0.4597553377738156,0.7856434190344999,2.508057665872567,14.959264702021562
105.01,3.9779831635956904,1.2201826105829146,10.409024585122069,8.981015707138543,35.72632927498557
107.01,6.561335660048106,2.895483730251528,8.501110390240797,7.256969460451714,47.61541250474189
108.01,2.8018947724581293,2.5373093479080624,5.12898159841194,15.965324726773133,44.733159892542155
108.02,5.776223776223776,22.441679057819204,328.00125260795807,179.60783358379965,1037.4550387427867
110.01,6.866670287297017,1.5757733493105777,-0.20790969450523278,9.94067643457742,68.25934750894642
111.01,2.106491997253183,2.517522010130813,4.423613177418247,11.427546889494867,24.07203607095644
111.02,13.025819958129798,3.446672902285964,1.1412672868463218,23.668384633842763,308.3001169402017
111.03,2.129817444219067,4.611689259131592,1.6503885849179163,51.755226721820044,110.22918470164512
112.01,2.2752293577981653,2.3440224666029637,-1.863862022223504,51.07926727544484,116.21704847991121
112.02,4.068467965976252,7.303714550178056,7.868017124811445,3.7091964750575945,15.090747038283855
115.01,9.65388283832043,1.8798564410240883,14.343074438530834,5.412202789521545,52.248771627272
115.02,4.289791485352188,7.6223985704728925,16.926656947979325,7.125960786333464,30.568885906166877
116.01,2.209950946040645,4.311810282602358,11.742658452911343,13.570779644865969,29.990757314680675
116.02,2.6741223982603297,5.2030948778984625,1.3198770021001351,43.84437303897558,117.24521998120592
117.01,77.10068792995624,7.643182923827883,20.652982548662763,14.749180344304909,1137.1719509488973
117.02,2.3761893363652686,12.989875001683595,27.693509062268447,4.9014291774860945,11.646723744492048
117.03,4.391478627175652,10.769555543687876,13.327037133464216,3.1800217369397807,13.964997491725041
118.01,2.3847806075483278,6.518422626815865,1.2112341065341923,24.993219626494483,59.6033454854603
119.01,4.097021276595744,2.522242021666849,12.718444089980416,49.18394809673387,201.50768181929945
119.02,4.625698324022346,11.091155826102113,20.271595399863052,190.32111347151996,880.3680556112765
122.01,3.8329288542598032,2.7113498385041592,7.452476998569381,11.523081275055112,44.167150709139584
123.01,9.170841622345824,2.8795865269499505,5.088313748388089,6.481626345072382,59.44196866588303
123.02,5.4354147643464215,3.9127692519988697,-0.32615940472252447,21.222609660922522,115.35368588893928
