KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin [days],P_ttv [days],P_lin_archive [days],planet 01 P_pert_archive [days],planet 03 P_pert_archive [days],planet 02 P_pert_archive [days],planet 04 P_pert_archive [days],planet 05 P_pert_archive [days],planet 06 P_pert_archive [days],planet 07 P_pert_archive [days]
82.03,3.0078094796257635,13.61621409889365,16.749683693227695,27.453834309236832,82.57590308739756,27.4536146,16.145671932,,10.31174786,7.07136119,5.28691996,,
82.04,6.917547169811321,21.987550192327724,47.41217928731282,7.0714555786217375,48.91712752434128,7.07136119,16.145671932,27.4536146,10.31174786,,5.28691996,,
84.01,33.54254110159861,5.277384058161255,285.9307502948343,9.286970948286012,311.5086047422358,9.286964466,,,,,,,
85.01,28.444854259515395,1.898533864320613,14.288764996069574,5.859937196514876,166.68505952477886,5.859935955,,8.13121389,2.154911236,,,,
85.02,12.8813427978054,5.930893722948417,51.2724703168376,2.1549093237233743,27.758125697067797,2.154911236,5.859935955,8.13121389,,,,,
85.03,2.533687451966561,6.781247345601148,20.03449181417062,8.131225959307907,20.601985182203205,8.13121389,5.859935955,,2.154911236,,,,
89.01,6.505415162454874,9.65228922887264,11.58811084655283,84.68810560708499,550.9312862959104,84.6877524,,,207.5829306,,,,
89.02,12.0,209.78364093751483,165.51341965326196,207.6370482189477,2491.644578627373,207.5829306,84.6877524,,,,,,
92.01,6.718498659517427,3.097067899439023,7.111608913678825,65.70456697156628,441.436045122641,65.7045275,,,,,,,
94.01,6.681559152040118,0.6777931969512674,15.709684712440648,22.342970274238244,149.28587751959685,22.342964828,,54.31996151,10.423677439,3.743166733,,,
94.02,14.98211484154377,5.356450026397774,68.28589086111198,10.423681913974184,156.16879950688403,10.423677439,22.342964828,54.31996151,,3.743166733,,,
94.03,12.141509433962266,7.629688595354269,69.12839823773604,54.31993619557444,659.5260177707954,54.31996151,22.342964828,,10.423677439,3.743166733,,,
94.04,4.917647419864664,16.56949498959138,36.9612919111847,3.743166343774228,18.40757231258558,3.743166733,22.342964828,54.31996151,10.423677439,,,,
100.01,2.95673109890361,2.318796166377473,25.081718221672645,9.966399282165131,29.467962701668263,9.9664004,,,,,,,
102.01,34.43605620585352,0.5495693595020106,6.933483019091341,1.7351360771396345,59.75124347718464,1.73513619,,,4.06844957,,,,
103.01,17.590496156533895,26.7734994689363,2228.949270345055,14.910994399495328,262.291789674421,14.91095177,,,,,,,
105.01,3.9779831635956895,1.2201826105829146,10.409024585122069,8.981015707138543,35.72632927498557,8.981014925,,,,,,,
107.01,6.561335660048106,2.895483730251528,8.501110390240797,7.256969460451714,47.61541250474189,7.256962446,,,,,,,
108.02,5.776223776223776,22.441679057819204,328.00125260795807,179.60783358379965,1037.4550387427869,179.609803,15.96532718,,,,,,
112.02,4.068467965976252,7.303714550178056,7.868017124811445,3.7091964750575945,15.090747038283856,3.709214104,51.07926451,,,,,,
115.01,9.65388283832043,1.8798564410240883,14.343074438530834,5.412202789521545,52.248771627272,5.412203927,,3.43591631,7.12594387,,,,
115.02,4.289791485352188,7.6223985704728925,16.926656947979325,7.125960786333464,30.56888590616688,7.12594387,5.412203927,3.43591631,,,,,
116.01,2.209950946040645,4.311810282602358,11.742658452911344,13.570779644865969,29.990757314680675,13.57078281,,6.164876,43.84439721,23.9800854,,,
117.01,77.10068792995624,7.643182923827883,20.652982548662763,14.749180344304907,1137.1719509488971,14.74914825,,3.180027898,4.90144976,7.95825328,,,
117.02,2.3761893363652686,12.989875001683597,27.693509062268447,4.901429177486095,11.646723744492048,4.90144976,14.74914825,3.180027898,,7.95825328,,,
117.03,4.391478627175652,10.769555543687876,13.327037133464216,3.1800217369397807,13.96499749172504,3.180027898,14.74914825,,4.90144976,7.95825328,,,
119.01,4.097021276595744,2.522242021666849,12.718444089980416,49.18394809673387,201.50768181929945,49.18394185,,,190.3200468,,,,
119.02,4.625698324022346,11.091155826102112,20.27159539986305,190.32111347152,880.3680556112765,190.3200468,49.18394185,,,,,,
122.01,3.8329288542598032,2.7113498385041592,7.452476998569381,11.523081275055112,44.167150709139584,11.523067458,,,,,,,
127.01,814.0,0.3656074653911883,6.0915754475785775,3.5787811181261167,2913.127830154659,3.578780566,,,,,,,
128.01,9.280701326570425,0.1520184710018937,6.535978807267043,4.942783407327827,45.872496525337645,4.942783419,,,,,,,
137.01,35.40218779499139,4.436244848045696,447.9227814244018,7.641562391228682,270.5280268214213,7.641567589,,3.504691252,14.85890852,,,,
137.02,18.0819392284056,4.36118541608134,756.2816653559953,14.858923649324977,268.67815442661293,14.85890852,7.641567589,3.504691252,,,,,
137.03,5.165025577864086,5.5804290818095295,19.27876407459684,3.504716350960169,18.10194959586776,3.504691252,7.641567589,,14.85890852,,,,
139.01,12.0,356.2732660512938,3080.385943950407,224.87131332629087,2698.4557599154905,224.7789355,,,3.341799486,,,,
139.02,2.232027362589373,13.148072776228322,48.99859763478196,3.341805620487396,7.4590015853828255,3.341799486,224.7789355,,,,,,
142.01,57.12656866260309,644.2880365720046,5714841.454330503,10.952496543104296,625.6785457965705,10.916108342,,,,,,,
144.01,5.668686815309975,1.5763952905620713,8.341613117465101,4.17625570343038,23.67388564339888,4.176254191,,,,,,,
148.01,84.41652586253883,4.259971828738201,23.836886763514485,4.778001359225577,403.3422753123117,4.77800306,,42.89645024,9.673958488,,,,
148.02,40.14325755216444,3.3026633380986943,36.58198806946265,9.673950486727788,388.3438859356,9.673958488,4.77800306,42.89645024,,,,,
148.03,5.393276851598798,9.610793054655645,10.391490943001422,42.89620538040799,231.35111149958223,42.89645024,4.77800306,,9.673958488,,,,
150.01,30.917936349197017,2.5242820350290844,7.332555737163176,8.4088703365656,259.98491783458616,8.408878137,,,28.5742692,,,,
151.01,2.491577617195647,3.2742909598705454,9.419923692498756,13.447176491740844,33.50468396130097,13.4471791,,,,,,,
152.01,11.964071856287424,9.519134718926168,207.08579781313492,52.090724554884304,623.2171716207115,52.09081627,,13.48457668,27.40229859,81.0637895,,,
152.02,33.73403456048084,14.214524700190372,51.54816820954397,27.402457414295966,924.3954454559648,27.40229859,52.09081627,13.48457668,,81.0637895,,,
152.03,61.56351999999999,9.853391225048542,45.52712653127631,13.484557605796706,830.1568318556175,13.48457668,52.09081627,,27.40229859,81.0637895,,,
152.04,9.321499013806706,34.5082998532917,26.41981243671717,81.06437887528037,755.6415277407791,81.0637895,52.09081627,13.48457668,27.40229859,,,,
153.02,15.95319140678065,2.3164645083769564,6.313465862328599,4.754002328339443,75.84150909228,4.75400072,8.925079516,,,,,,
156.01,2.1008816995561044,3.898874758314147,6.319498786321816,8.04134735895963,16.8939195062121,8.041347775,,11.776132317,5.188563677,,,,
156.02,7.17435859776085,7.6386763438349075,19.5949770206002,5.1885663368865,37.22463550909418,5.188563677,8.041347775,11.776132317,,,,,
156.03,13.833050487908356,2.6358254499950107,21.20062424720099,11.776136252345038,162.8998873311768,11.776132317,8.041347775,,5.188563677,,,,
157.01,17.39416577730345,6.186538883326935,24.1316766674872,13.02491114415362,226.5574636760552,13.02493307,,31.99552485,22.687155,46.6856205,118.3786735,10.30401132,
157.02,7.931922723091075,6.420067406254473,17.718838990783752,22.68718810646215,179.9530228646887,22.687155,13.02493307,31.99552485,,46.6856205,118.3786735,10.30401132,
157.03,24.208429118773942,5.841609445728986,39.727608638568654,31.995291680253303,774.5557507759099,31.99552485,13.02493307,,22.687155,46.6856205,118.3786735,10.30401132,
157.04,11.294611616515043,24.035575708258776,90.31999091242784,46.68582121432284,527.2982186138353,46.6856205,13.02493307,31.99552485,22.687155,,118.3786735,10.30401132,
157.05,2.384087791495199,9.926002923854115,9.786270819890214,118.37784832976608,282.2231829864656,118.3786735,13.02493307,31.99552485,22.687155,46.6856205,,10.30401132,
157.06,2.0246755658255795,10.31193991444539,14.61773721212498,10.304052671242044,20.86236367244356,10.30401132,13.02493307,31.99552485,22.687155,46.6856205,118.3786735,,
161.01,10.419633034034852,1.177578046208781,9.375857801814846,3.105507460972514,32.35824812779091,3.105507835,,,,,,,
165.01,39.88492932510452,4.235487866891228,19.992103059351805,13.221757133249554,527.348848813355,13.22175358,,,,,,,
166.01,23.15234488785319,4.146442394917479,17.172246604765974,12.493413896213749,289.2518273518384,12.49340725,,,,,,,
168.01,42.72084805653711,22.74021413805726,249.10041400582597,10.742477954118506,458.9277684285963,10.74241765,,7.10695741,15.27443889,,,,
168.03,64.74736660335002,36.61164301158799,15.451876490175522,7.106925555363318,460.1547143558257,7.10695741,10.74241765,,15.27443889,,,,
171.01,2.7331805873776296,3.283760653268006,6.487228755720878,5.968705078231428,16.313548851604413,5.968724048,,,13.07141889,,,,
171.02,9.111210311924555,14.309855679000314,18.014988454380443,13.07149269453132,119.09711903066028,13.07141889,5.968724048,,,,,,
174.01,4.106910039113429,5.697188368855014,12.096743154566925,56.354099959644,231.4412188694636,56.35407916,,,,,,,
177.01,2.256058046470409,8.813050763426165,6.640891398193389,21.06072597822888,47.51422030769164,21.06075303,,,,,,,
180.01,16.959481361426256,2.299003512899538,6.688588650707445,10.045568591081308,170.36763328537245,10.04556377,,,,,,,
